DocID,published_at,source_name,author,title,description,url,url_to_image,content,category,full_content,language
1000010,2023-10-01 22:14:18.000000,Forbes,"Aly Walansky, Contributor, 
 Aly Walansky, Contributor
 https://www.forbes.com/sites/alywalansky/",12 Delicious Variations To Enjoy On National Taco Day,National Taco Day is celebrated on October 4.,https://www.forbes.com/sites/alywalansky/2023/10/01/12-delicious-variations-to-enjoy-on-national-taco-day/,"https://imageio.forbes.com/specials-images/imageserve/6519ee53f554e34352092d34/0x0.jpg?format=jpg&crop=1600,901,x0,y156,safe&width=1200","Tacos are one of the most universally beloved foods. This handheld treat can be enjoyed in many ways, and any time of day. We love them for breakfast, lunch, dinner even dessert. And no matter what t… [+7176 chars]",Vegan,,en
1000011,2023-10-01 22:18:00.000000,The A.V. Club,Sam Barsanti,Tom Hanks says that’s not really him selling dental insurance in Instagram ads,"Attention: Tom Hanks does not want you to go to the dentist. Or, if he does, he at least has no interest in telling you how to pay for it. That’s the main thing we should all take away from Hanks’ latest post on Instagram (via Variety), where he denounced an …",https://www.avclub.com/tom-hanks-ai-dental-plan-instagram-ads-1850890845,"https://i.kinja-img.com/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/c052d007d2d674d18bd0efd54a0aeb47.jpg","Attention: Tom Hanks does not want you to go to the dentist. Or, if he does, he at least has no interest in telling you how to pay for it. Thats the main thing we should all take away from Hanks late… [+1869 chars]",Instagram,,en
1000012,2023-10-01 22:35:48.000000,ESPN,ESPN,"2023 MLB playoffs: Schedule, postseason bracket, standings",We have your one-stop shop for everything you need to keep up with all the action this October.,https://www.espn.com/mlb/story/_/id/38513473/2023-mlb-playoffs-world-series-schedule-postseason-bracket-standings,https://a2.espncdn.com/combiner/i?img=%2Fphoto%2F2023%2F1001%2Fr1232519_1296x729_16%2D9.jpg,"The 2023 MLB playoffs are finally here after a season full of unexpected surprises.
This postseason will be our second look at the league's new 12-team format, which boasts an additional wild-card s… [+4803 chars]",Travel,,en
1000013,2023-10-01 23:00:53.000000,Clarkesworldmagazine.com,Carrie Sessarego,Gardens in the Sky: Gardening in Science Fiction by Carrie Sessarego,"Throughout history, we see gardening as serving many different purposes: physical survival, preservation of culture and environment, and sensory pleasure. All these traits are also to be found in the pages of science fiction. In order to survive, people requi…",https://clarkesworldmagazine.com/sessarego_10_23/,https://clarkesworldmagazine.com/covers/cw_205_800.jpg?3,"Throughout history, we see gardening as serving many different purposes: physical survival, preservation of culture and environment, and sensory pleasure. All these traits are also to be found in the… [+14988 chars]",Gardening,,en
1000014,2023-10-01 23:23:43.000000,Vice News,"Annabel Gat, Sara David","Monthly Horoscope: Sagittarius, October 2023","Welcome to Libra season, dear Sagittarius!",https://www.vice.com/en/article/z3mwe8/monthly-horoscope-sagittarius-october-2023,https://video-images.vice.com/articles/651321be1e6a5796d1d9851e/lede/1695915716617-7librascorpiomonthly41920x1080.jpeg?image-resize-opts=Y3JvcD0xeHc6MXhoO2NlbnRlcixjZW50ZXImcmVzaXplPTEyMDA6KiZyZXNpemU9MTIwMDoq,"Libra season is an exciting time of year for your social life, Sagittarius! You could be meeting many new friends, reconnecting with communities you adore, and exploring hobbies you enjoy. Libra is a… [+7254 chars]",Meditation,,en
1000015,2023-10-01 23:26:14.000000,Bleacher Report,Julia Stumbaugh,Khalil Mack's 6 Sacks for Chargers in Revenge Game vs. Raiders Leaves Fans Furious,It looks like Khalil Mack isn't over his 2018 trade from the Las Vegas Raiders—and neither are Raiders fans. The Los Angeles Chargers linebacker racked up six…,https://bleacherreport.com/articles/10091728-khalil-macks-6-sacks-for-chargers-in-revenge-game-vs-raiders-leaves-fans-furious,"https://media.bleacherreport.com/image/upload/c_fill,g_faces,w_3800,h_2000,q_95/v1696200701/dgyptahwznrjefszsrog.jpg","Harry How/Getty Images
It looks like Khalil Mack isn't over his 2018 trade from the Las Vegas Raidersand neither are Raiders fans.
The Los Angeles Chargers linebacker racked up six sacks against La… [+4509 chars]",Poetry,,en
1000016,2023-10-01 23:30:44.000000,Yanko Design,Gaurav Sood,This all roader DeLorean packs power with 4×4 drivetrain and kills with its sharp looks,This all roader DeLorean packs power with 4×4 drivetrain and kills with its sharp looksDeLorean DMC 12 is a cult favorite even after so many iconic cars have made their presence felt and then faded away eventually. The rear-engine...,https://www.yankodesign.com/2023/10/01/this-all-roader-delorean-packs-power-with-4x4-drivetrain-and-kills-with-its-sharp-looks/,https://www.yankodesign.com/images/design_news/2023/10/this-all-roader-delorean-unleashes-torque-with-4x4-drivetrain-and-kills-with-its-sharp-looks/Delorean-All-Roader-15.jpg,DeLorean DMC 12 is a cult favorite even after so many iconic cars have made their presence felt and then faded away eventually. The rear-engine two-passenger sports car spiced up the early 80s with i… [+1870 chars],Sports,,en
1000017,2023-10-01 23:35:34.000000,Deadline,Jill Goldsmith,Steve McQueen Calls ‘Occupied City’ A “Reminder Of What’s At Stake” In Current Political Climate As Holocaust Doc Screens At New York Film Festival,"Director Steve McQueen said his unusual four-hour Holocaust documentary shot in Amsterdam is rooted in his strong sense that “the past is present” in physical manifestations all around us, as well as a reminder to stay vigilant. “It’s very cliche, but we have…",https://deadline.com/2023/10/steve-mcqueen-bianca-stitger-occupied-city-new-york-film-festival-1235561232/,https://deadline.com/wp-content/uploads/2023/10/Occupied_City_01.jpg?w=1024,"Director Steve McQueen said his unusual four-hour Holocaust documentary shot in Amsterdam is rooted in his strong sense that “the past is present” in physical manifestations all around us, as well as… [+3334 chars]",Politics,"Director Steve McQueen said his unusual four-hour Holocaust documentary shot in Amsterdam is rooted in his strong sense that “the past is present” in physical manifestations all around us, as well as a reminder to stay vigilant. “It’s very cliche, but we have to not forget. Because see what’s happening now in the politics of the world…things are shifting to the right. And if anything, you know, your book, this film, hopefully can be a reminder of what’s at stake, and it’s freedom,” the director of12 Years A Slaveand upcomingBlitzsaid Sunday as the film screened at theNew York Film Festival. The book refers to ‘Atlas of anOccupied City, Amsterdam 1940-1945’ by Bianca Stigter, McQueen’s wife, a filmmaker (Three Minutes: A Lengthening) and historian. Her Atlas is a compedium of addresses around the city where Nazi atrocities unfolded during World War II with descriptions of each. The couple lives in Amsterdam with their children. McQueen shot the film around the city over nearly three years, ending up with 36 hours of footage edited into just over four. There’s no archival footage but shots of building exteriors, parks, public gardens, underpasses, a girl’s school, a theater and other locations, some since demolished, that were sites of interrogation and execution. Instead, the camera lingers on modern day city dwellers going about their lives in the same spots.Related StoriesFestivalsFilm Festival Calendar Listings For 2023Breaking NewsAs Actors Strike Drags On, NY Film Festival Offers A Tale Of Two Premieres: 'Ferrari' Brings Adam Driver & Penélope Cruz, While 'The Curse' Duo Benny Safdie & Nathan Fielder Dodge Spotlight Some 60,000 of Amsterdam’s Jews were deported to concentration camps during the war as a strong Dutch Nazi party collaborated with occupying Germans. Holland deported more Jews proportionally (70%) than any other Western European nation and very few survived. “I don’t know if it’s a documentary. I don’t know if it’s a feature film. I don’t know if it’s art. I don’t know what the hell I was doing. I was not interested in the whole idea of framing the film as any kind of genre. All I wanted to do was to allow Bianca’s text to bring us to someplace, was to discover what we could discover in the moment of now, but reflecting on the past,” he said during a Q&A with Stigter and NYFF artistic director Dennis Lim. “At the end of the day, we didn’t know what we were going to get. And it was just a lot of faith in the process, and the film.” The doc premiered at Cannes.A24, which co-financed the film with New Regency, has domestic rights.Deadline review here. He said the concept had been percolating for years. “I remember walking on the street with Bianca when I first met her, and asking her, ‘What’s this monument for?’ And it was basically a monument  [on a site] where Nazi soldiers executed members of the resistance…So that sort of shocked me, it really kind of gave me a bit of a shudder. And then to discover that my daughter’s school and where kids were jostling, you know, putting their rucksacks into their lockers, this actual space, was where the SS had this sort of interrogation center.” Stigter, who is from Amsterdam, said her book focused particularly on “where the perpetrators were.” The Atlas is more like a guide book with picture and maps, street by street, neighborhood by neighborhood. The film is more a “wandering through the city.” On the length of the movie, which is shown with an intermission, McQueen said, “It’s about time, it’s about the weight of the subject. It deserves no less. This couldn’t be an hour-and-a-half movie, because it just had to have the weight of time.” “It’s more of an experience than a history lesson. And it doesn’t matter…if you wander off sometimes,” added Stigter.",en
1000018,2023-10-01 23:36:29.000000,Vice News,"Annabel Gat, Sara David","Monthly Horoscope: Capricorn, October 2023","Welcome to Libra season, dear Capricorn!",https://www.vice.com/en/article/xgw58k/monthly-horoscope-capricorn-october-2023,https://video-images.vice.com/articles/651339dd46aaf32762978feb/lede/1695915750451-7librascorpiomonthly51920x1080.jpeg?image-resize-opts=Y3JvcD0xeHc6MXhoO2NlbnRlcixjZW50ZXImcmVzaXplPTEyMDA6KiZyZXNpemU9MTIwMDoq,"The sun in Libra lights up the sector of your chart that rules fame and success, making it an exciting time of year to stand in the spotlight! Rewards and recognition come your way. New career opport… [+7698 chars]",Relationships,,en
1000019,2023-10-01 23:59:51.000000,Vice News,"Annabel Gat, Sara David","Monthly Horoscope: Pisces, October 2023","Welcome to Libra season, dear Pisces!",https://www.vice.com/en/article/88xdnx/monthly-horoscope-pisces-october-2023,https://video-images.vice.com/articles/65145b2a12db225893cacc5f/lede/1695915800072-7librascorpiomonthly71920x1080.jpeg?image-resize-opts=Y3JvcD0xeHc6MXhoO2NlbnRlcixjZW50ZXImcmVzaXplPTEyMDA6KiZyZXNpemU9MTIwMDoq,The sun in relationship-loving Libra brings intense discussions with your partners about everything from intimacy to money. Libra is all about fair give-and-take: Do you feel like things are equal in… [+6604 chars],Relationships,,en
1000020,2023-10-02 00:00:00.000000,Cheezburger.com,"Jesse Kessenheimer, Jesse Kessenheimer",40 Part-Sun Memes for Plant People to Propagate in the Window Sill,"Every time life is spiraling out of control, plant people can't help but buy another plant. With hundreds of plants in their collection at this point, what's one more? Although, at what point does a gardening hobby turn into an obsession? 
As someone who's n…",https://cheezburger.com/22438405/40-part-sun-memes-for-plant-people-to-propagate-in-the-window-sill,https://i.chzbgr.com/thumb1200/22438405/hC950B133/house-plants-garden-gardening-gardening-memes-nature-relatable-potted-green-succulent-succulents,"Every time life is spiraling out of control, plant people can't help but buy another plant. With hundreds of plants in their collection at this point, what's one more? Although, at what point does a … [+758 chars]",Gardening,,en
1000021,2023-10-02 00:00:00.000000,National Geographic,"Jeffrey Barbee,Laurel Neme",Can UNESCO safeguard the Okavango from oil drilling?,"A potentially high risk of contamination has spurred UNESCO members to recommend setting aside even more of the Okavango Delta, the world’s largest wetlands, for conservation.",https://www.nationalgeographic.com/environment/article/okavango-delta-unesco-world-heritage-site-expansion,https://i.natgeofe.com/n/dfd23364-38f6-416a-92ba-4eb7c34fe2ab/NationalGeographic_2682486_16x9.jpg?w=1200,"RIYADHThe Okavango Delta took center stage at UNESCOs World Heritage Committee annual meeting in Riyadh, Saudi Arabia, in September, with the committee expressing its utmost concern for the potential… [+5802 chars]",Angola,,en
1000022,2023-10-02 00:00:21.000000,Vice News,"Annabel Gat, Sara David",Your Monthly Horoscope: October 2023,Welcome to Libra season!,https://www.vice.com/en/article/ak34vb/your-monthly-horoscope-october-2023,https://video-images.vice.com/articles/65159e3bc13cc5d79883575e/lede/1695915601960-7librascorpiomonthly91920x1080.jpeg?image-resize-opts=Y3JvcD0xeHc6MXhoO2NlbnRlcixjZW50ZXImcmVzaXplPTEyMDA6KiZyZXNpemU9MTIwMDoq,"Mercury and Venus retrograde are behind us, but eclipse season is here! The new moon in Libra finds us embracing new beginnings, and the lunar eclipse in Taurus could bring big reveals. The month ope… [+1751 chars]",Relationships,,en
1000023,2023-10-02 00:00:26.000000,Adafruit.com,Zay,"Leight Bracket, Science Fiction Pioneer #SciFiSunday","If you like Star Wars, you probably like The Empire Strikes Back, the Star Wars that folks generally consider to be the best of the Star Wars. Two people wrote the screenplay for that excellent film. One is Lawrence Kasdan, Hollywood long-timer, who also wrot…",https://blog.adafruit.com/2023/10/01/leight-bracket-science-fiction-pioneer-scifisunday/,https://cdn-blog.adafruit.com/uploads/2023/10/Screenshot-2023-10-02-at-10.53.27-AM.png,"If you like Star Wars, you probably like The Empire Strikes Back, the Star Wars that folks generally consider to be the best of the Star Wars. Two people wrote the screenplay for that excellent film.… [+4214 chars]",Science,,en
1000024,2023-10-02 00:04:05.000000,BBC News,https://www.facebook.com/bbcnews,Why government shutdowns seem to only happen in US,Government shutdowns have become a frequent - and protracted - uniquely American problem.,https://www.bbc.co.uk/news/world-us-canada-66965637,https://ichef.bbci.co.uk/news/1024/branded_news/0670/production/_131284610_af5b2b6b007fd30dc7f052c00e4dded10bf505d90_659_8080_45471000x563.jpg,"Media caption, Watch: How does a government shutdown impact the US?
The US government has shutdown ten times over the past 40-plus years. Meanwhile, in other countries, governments keep functioning,… [+4209 chars]",Food,"The US government has shutdown ten times over the past 40-plus years. Meanwhile, in other countries, governments keep functioning, even in the midst of wars and constitutional crises. So why does this uniquely American phenomenon keep happening? For most of the world, a government shutdown is very bad news - the result of revolution, invasion or disaster. That leaders of one of the most powerful nations on Earth willingly provoked a crisis that suspends public services and decreases economic growth is surprising to many. In a last-minute deal on Saturday, Congress's managed to avoid a shutdown by passing a stop-gap spending bill that will keep the government running for another 45 days. But that means the politicians will have to go back to the bargaining table, and the country could be facing another shutdown yet again, once the funding runs out. So why does this keep happening? America's federal system of government allows different branches of government to be controlled by different parties. It was a structure devised by the nation's founders to encourage compromise and deliberation, but lately has had the opposite effect.  That's because in 1980, the Attorney General under President Jimmy Carter's administration issued a narrow interpretation of the 1884 Anti-Deficiency Act. The 19th Century spending law banned the government from entering into contracts without congressional approval; for almost a century, if there was a gap in budgets, the government had allowed necessary spending to continue. But after 1980, the government took a much stricter view: no budget, no spending. That interpretation has set the US apart from other non-parliamentary democracies, such as Brazil, where a strong executive branch has the ability to keep the lights on during a budget impasse.  The first US shutdown occurred shortly after in 1981, when President Ronald Reagan vetoed a funding bill, and lasted for a few days. Since then, there's been at least ten others that led to a stop in services, lasting anywhere from half-a-day to over a month. The last one, from 21 December 2018 to 25 January 2019, was the longest on record. While some essential services did continue to run, like social security and the military, hundreds of thousands of federal workers were not paid. At the time, the White House estimated that the shutdown reduced GDP growth by 0.1 percentage points for every week the salary stoppage went on. Elsewhere in the world, such shutdowns are practically impossible. The parliamentary system used by most European democracies ensures that the executive and legislature are controlled by the same party or coalition. Conceivably, a parliament could refuse to pass a budget proposed by the prime minister, but such an action would likely trigger a new election - not a stoppage in services like national parks, tax refunds and food assistance programmes. That's exactly what happened in Canada in 2011, when opposition parties rejected the budget proposed by then-Prime Minister Stephen Harper's Conservative Party, which had a minority of seats in parliament. The House of Commons then passed a motion of no-confidence, triggering an election. Meanwhile, the government's services ticked away. Even in Belgium, which did not have an elected government in power for 589 days between 2010-2011, the trains kept running.  More recently, Ireland managed to keep everything running from 2016-2020 under a minority government with a confidence-and-supply system, which is when parties not in power agree to support spending bills and confidence votes. But this type of cooperation has become increasingly rare in the US, where warring political parties seem all-too willing to use the day-to-day functioning of the government as a bargaining chip to extract demands from the other side. The latest shutdown, for example, is the result of a minority of hardline conservative Republican members of Congress demanding deep spending cuts that centrists in their own party and Democrats would not support. A deal was finally reached on Saturday, but with a huge caveat: no additional funding for the Ukraine war.  With the clock ticking on the 45-day stop-gap funding, it remains to be seen what kind of new deal will be reached - if one can be reached at all.",en
